Note regarding coverage and payment indicators for codes in CMS’ 2020 HCPCS Update and DMEPOS Fee Schedule Files

If specific Medicare coverage or payment indicators or values have not been established for any new HCPCS codes, this may be because a n






  HCPC/MOD         ACTION CD       SHORT DESCRIPTION              LONG DESCRIPTION
   L5706           No Change       Custom shape cvr knee disart   Custom shaped protective cover, knee disarticulation
   L5707           No Change       Custom shape cvr hip disart    Custom shaped protective cover, hip disarticulation
   L5710           No Change       Kne-shin exo sng axi mnl loc   Addition, exoskeletal knee-shin system, single axis, manual lock
   L5711           No Change       Knee-shin exo mnl lock ultra   Additions exoskeletal knee-shin system, single axis, manual lock, ultr
   L5712           No Change       Knee-shin exo frict swg & st   Addition, exoskeletal knee-shin system, single axis, friction swing an
   L5714           No Change       Knee-shin exo variable frict   Addition, exoskeletal knee-shin system, single axis, variable friction
   L5716           No Change       Knee-shin exo mech stance ph   Addition, exoskeletal knee-shin system, polycentric, mechanical stance
   L5718           No Change       Knee-shin exo frct swg & sta   Addition, exoskeletal knee-shin system, polycentric, friction swing an
   L5722           No Change       Knee-shin pneum swg frct exo   Addition, exoskeletal knee-shin system, single axis, pneumatic swing,
   L5724           No Change       Knee-shin exo fluid swing ph   Addition, exoskeletal knee-shin system, single axis, fluid swing phase
   L5726           No Change       Knee-shin ext jnts fld swg e   Addition, exoskeletal knee-shin system, single axis, external joints f
   L5728           No Change       Knee-shin fluid swg & stance   Addition, exoskeletal knee-shin system, single axis, fluid swing and s
   L5780           No Change       Knee-shin pneum/hydra pneum    Addition, exoskeletal knee-shin system, single axis, pneumatic/hydra p
   L5781           No Change       Lower limb pros vacuum pump    Addition to lower limb prosthesis, vacuum pump, residual limb volume m
   L5782           No Change       Hd low limb pros vacuum pump   Addition to lower limb prosthesis, vacuum pump, residual limb volume m
   L5785           No Change       Exoskeletal bk ultralt mater   Addition, exoskeletal system, below knee, ultra-light material (titani
   L5790           No Change       Exoskeletal ak ultra-light m   Addition, exoskeletal system, above knee, ultra-light material (titani
   L5795           No Change       Exoskel hip ultra-light mate   Addition, exoskeletal system, hip disarticulation, ultra-light materia
   L5810           No Change       Endoskel knee-shin mnl lock    Addition, endoskeletal knee-shin system, single axis, manual lock
   L5811           No Change       Endo knee-shin mnl lck ultra   Addition, endoskeletal knee-shin system, single axis, manual lock, ult
   L5812           No Change       Endo knee-shin frct swg & st   Addition, endoskeletal knee-shin system, single axis, friction swing a
   L5814           No Change       Endo knee-shin hydral swg ph   Addition, endoskeletal knee-shin system, polycentric, hydraulic swing
   L5816           No Change       Endo knee-shin polyc mch sta   Addition, endoskeletal knee-shin system, polycentric, mechanical stanc
   L5818           No Change       Endo knee-shin frct swg & st   Addition, endoskeletal knee-shin system, polycentric, friction swing,
   L5822           No Change       Endo knee-shin pneum swg frc   Addition, endoskeletal knee-shin system, single axis, pneumatic swing,
   L5824           No Change       Endo knee-shin fluid swing p   Addition, endoskeletal knee-shin system, single axis, fluid swing phas
   L5826           No Change       Miniature knee joint           Addition, endoskeletal knee-shin system, single axis, hydraulic swing
   L5828           No Change       Endo knee-shin fluid swg/sta   Addition, endoskeletal knee-shin system, single axis, fluid swing and
   L5830           No Change       Endo knee-shin pneum/swg pha   Addition, endoskeletal knee-shin system, single axis, pneumatic/ swing
   L5840           No Change       Multi-axial knee/shin system   Addition, endoskeletal knee/shin system, 4-bar linkage or multiaxial,
   L5845           No Change       Knee-shin sys stance flexion   Addition, endoskeletal, knee-shin system, stance flexion feature, adju
   L5848           No Change       Knee-shin sys hydraul stance   Addition to endoskeletal knee-shin system, fluid stance extension, dam
   L5850           No Change       Endo ak/hip knee extens assi   Addition, endoskeletal system, above knee or hip disarticulation, knee
   L5855           No Change       Mech hip extension assist      Addition, endoskeletal system, hip disarticulation, mechanical hip ext
   L5856           No Change       Elec knee-shin swing/stance    Addition to lower extremity prosthesis, endoskeletal knee-shin system,
   L5857           No Change       Elec knee-shin swing only      Addition to lower extremity prosthesis, endoskeletal knee-shin system,
   L5858           No Change       Stance phase only              Addition to lower extremity prosthesis, endoskeletal knee shin system,
   L5859           No Change       Knee-shin pro flex/ext cont    Addition to lower extremity prosthesis, endoskeletal knee-shin system,
   L5910           No Change       Endo below knee alignable sy   Addition, endoskeletal system, below knee, alignable system
   L5920           No Change       Endo ak/hip alignable system   Addition, endoskeletal system, above knee or hip disarticulation, alig
   L5925           No Change       Above knee manual lock         Addition, endoskeletal system, above knee, knee disarticulation or hip
   L5930           No Change       High activity knee frame       Addition, endoskeletal system, high activity knee control frame
   L5940           No Change       Endo bk ultra-light material   Addition, endoskeletal system, below knee, ultra-light material (titan
   L5950           No Change       Endo ak ultra-light material   Addition, endoskeletal system, above knee, ultra-light material (titan
   L5960           No Change       Endo hip ultra-light materia   Addition, endoskeletal system, hip disarticulation, ultra-light materi
   L5961           No Change       Endo poly hip, pneu/hyd/rot    Addition, endoskeletal system, polycentric hip joint, pneumatic or hyd
   L5962           No Change       Below knee flex cover system   Addition, endoskeletal system, below knee, flexible protective outer s
   L5964           No Change       Above knee flex cover system   Addition, endoskeletal system, above knee, flexible protective outer s
   L5966           No Change       Hip flexible cover system      Addition, endoskeletal system, hip disarticulation, flexible protectiv
   L5968           No Change       Multiaxial ankle w dorsiflex   Addition to lower limb prosthesis, multiaxial ankle with swing phase a
   L5969           No Change       Ak/ft power asst incl motors   Addition, endoskeletal ankle-foot or ankle system, power assist, inclu
   L5970           No Change       Foot external keel sach foot   All lower extremity prostheses, foot, external keel, sach foot
   L5971           No Change       Sach foot, replacement         All lower extremity prosthesis, solid ankle cushion heel (sach) foot,
   L5972           No Change       Flexible keel foot             All lower extremity prostheses, foot, flexible keel
   L5973           No Change       Ank-foot sys dors-plant flex   Endoskeletal ankle foot system, microprocessor controlled feature, dor
   L5974           No Change       Foot single axis ankle/foot    All lower extremity prostheses, foot, single axis ankle/foot
   L5975           No Change       Combo ankle/foot prosthesis    All lower extremity prosthesis, combination single axis ankle and flex
   L5976           No Change       Energy storing foot            All lower extremity prostheses, energy storing foot (seattle carbon co
   L5978           No Change       Ft prosth multiaxial ankl/ft   All lower extremity prostheses, foot, multiaxial ankle/foot
   L5979           No Change       Multi-axial ankle/ft prosth    All lower extremity prosthesis, multi-axial ankle, dynamic response fo
   L5980           No Change       Flex foot system               All lower extremity prostheses, flex foot system
   L5981           No Change       Flex-walk sys low ext prosth   All lower extremity prostheses, flex-walk system or equal
   L5982           No Change       Exoskeletal axial rotation u   All exoskeletal lower extremity prostheses, axial rotation unit
   L5984           No Change       Endoskeletal axial rotation    All endoskeletal lower extremity prosthesis, axial rotation unit, with
   L5985           No Change       Lwr ext dynamic prosth pylon   All endoskeletal lower extremity prostheses, dynamic prosthetic pylon
   L5986           No Change       Multi-axial rotation unit      All lower extremity prostheses, multi-axial rotation unit ('mcp' or eq
   L5987           No Change       Shank ft w vert load pylon     All lower extremity prosthesis, shank foot system with vertical loadin
   L5988           No Change       Vertical shock reducing pylo   Addition to lower limb prosthesis, vertical shock reducing pylon featu
   L5990           No Change       User adjustable heel height    Addition to lower extremity prosthesis, user adjustable heel height
   L5999           No Change       Lowr extremity prosthes nos    Lower extremity prosthesis, not otherwise specified
   L6000           No Change       Part hand thumb rem            Partial hand, thumb remaining
   L6010           No Change       Part hand little/ring          Partial hand, little and/or ring finger remaining
   L6020           No Change       Part hand no fingers           Partial hand, no finger remaining
   L6025           No Change       Part hand disart myoelectric   Transcarpal/metacarpal or partial hand disarticulation prosthesis, ext
   L6026           No Change       Part hand myo exclu term dev   Transcarpal/metacarpal or partial hand disarticulation prosthesis, ext
   L6050           No Change       Wrst mld sck flx hng tri pad   Wrist disarticulation, molded socket, flexible elbow hinges, triceps p
   L6055           No Change       Wrst mold sock w/exp interfa   Wrist disarticulation, molded socket with expandable interface, flexib
   L6100           No Change       Elb mold sock flex hinge pad   Below elbow, molded socket, flexible elbow hinge, triceps pad
   L6110           No Change       Elbow mold sock suspension t   Below elbow, molded socket, (muenster or northwestern suspension types
   L6120           No Change       Elbow mold doub splt soc ste   Below elbow, molded double wall split socket, step-up hinges, half cuf
   L6130           No Change       Elbow stump activated lock h   Below elbow, molded double wall split socket, stump activated locking
   L6200           No Change       Elbow mold outsid lock hinge   Elbow disarticulation, molded socket, outside locking hinge, forearm
   L6205           No Change       Elbow molded w/ expand inter   Elbow disarticulation, molded socket with expandable interface, outsid
   L6250           No Change       Elbow inter loc elbow forarm   Above elbow, molded double wall socket, internal locking elbow, forear
   L6300           No Change       Shlder disart int lock elbow   Shoulder disarticulation, molded socket, shoulder bulkhead, humeral se
   L6310           No Change       Shoulder passive restor comp   Shoulder disarticulation, passive restoration (complete prosthesis)
   L6320           No Change       Shoulder passive restor cap    Shoulder disarticulation, passive restoration (shoulder cap only)
   L6350           No Change       Thoracic intern lock elbow     Interscapular thoracic, molded socket, shoulder bulkhead, humeral sect
   L6360           No Change       Thoracic passive restor comp   Interscapular thoracic, passive restoration (complete prosthesis)
   L6370           No Change       Thoracic passive restor cap    Interscapular thoracic, passive restoration (shoulder cap only)
   L6380           No Change       Postop dsg cast chg wrst/elb   Immediate post surgical or early fitting, application of initial rigid
   L6382           No Change       Postop dsg cast chg elb dis/   Immediate post surgical or early fitting, application of initial rigid
   L6384           No Change       Postop dsg cast chg shlder/t   Immediate post surgical or early fitting, application of initial rigid
   L6386           No Change       Postop ea cast chg & realign   Immediate post surgical or early fitting, each additional cast change
   L6388           No Change       Postop applicat rigid dsg on   Immediate post surgical or early fitting, application of rigid dressin
   L6400           No Change       Below elbow prosth tiss shap   Below elbow, molded socket, endoskeletal system, including soft prosth
   L6450           No Change       Elb disart prosth tiss shap    Elbow disarticulation, molded socket, endoskeletal system, including s
   L6500           No Change       Above elbow prosth tiss shap   Above elbow, molded socket, endoskeletal system, including soft prosth
   L6550           No Change       Shldr disar prosth tiss shap   Shoulder disarticulation, molded socket, endoskeletal system, includin
   L6570           No Change       Scap thorac prosth tiss shap   Interscapular thoracic, molded socket, endoskeletal system, including
   L6580           No Change       Wrist/elbow bowden cable mol   Preparatory, wrist disarticulation or below elbow, single wall plastic
   L6582           No Change       Wrist/elbow bowden cbl dir f   Preparatory, wrist disarticulation or below elbow, single wall socket,
   L6584           No Change       Elbow fair lead cable molded   Preparatory, elbow disarticulation or above elbow, single wall plastic
   L6586           No Change       Elbow fair lead cable dir fo   Preparatory, elbow disarticulation or above elbow, single wall socket,
   L6588           No Change       Shdr fair lead cable molded    Preparatory, shoulder disarticulation or interscapular thoracic, singl
   L6590           No Change       Shdr fair lead cable direct    Preparatory, shoulder disarticulation or interscapular thoracic, singl
   L6600           No Change       Polycentric hinge pair         Upper extremity additions, polycentric hinge, pair
   L6605           No Change       Single pivot hinge pair        Upper extremity additions, single pivot hinge, pair
   L6610           No Change       Flexible metal hinge pair      Upper extremity additions, flexible metal hinge, pair
   L6611           No Change       Additional switch, ext power   Addition to upper extremity prosthesis, external powered, additional s
   L6615           No Change       Disconnect locking wrist uni   Upper extremity addition, disconnect locking wrist unit
   L6616           No Change       Disconnect insert locking wr   Upper extremity addition, additional disconnect insert for locking wri
   L6620           No Change       Flexion/extension wrist unit   Upper extremity addition, flexion/extension wrist unit, with or withou
   L6621           No Change       Flex/ext wrist w/wo friction   Upper extremity prosthesis addition, flexion/extension wrist with or w
   L6623           No Change       Spring-ass rot wrst w/ latch   Upper extremity addition, spring assisted rotational wrist unit with l
   L6624           No Change       Flex/ext/rotation wrist unit   Upper extremity addition, flexion/extension and rotation wrist unit
   L6625           No Change       Rotation wrst w/ cable lock    Upper extremity addition, rotation wrist unit with cable lock
   L6628           No Change       Quick disconn hook adapter o   Upper extremity addition, quick disconnect hook adapter, otto bock or
   L6629           No Change       Lamination collar w/ couplin   Upper extremity addition, quick disconnect lamination collar with coup
   L6630           No Change       Stainless steel any wrist      Upper extremity addition, stainless steel, any wrist
   L6632           No Change       Latex suspension sleeve each   Upper extremity addition, latex suspension sleeve, each
   L6635           No Change       Lift assist for elbow          Upper extremity addition, lift assist for elbow
   L6637           No Change       Nudge control elbow lock       Upper extremity addition, nudge control elbow lock
   L6638           No Change       Elec lock on manual pw elbow   Upper extremity addition to prosthesis, electric locking feature, only
   L6640           No Change       Shoulder abduction joint pai   Upper extremity additions, shoulder abduction joint, pair
   L6641           No Change       Excursion amplifier pulley t   Upper extremity addition, excursion amplifier, pulley type
   L6642           No Change       Excursion amplifier lever ty   Upper extremity addition, excursion amplifier, lever type
   L6645           No Change       Shoulder flexion-abduction j   Upper extremity addition, shoulder flexion-abduction joint, each
   L6646           No Change       Multipo locking shoulder jnt   Upper extremity addition, shoulder joint, multipositional locking, fle
   L6647           No Change       Shoulder lock actuator         Upper extremity addition, shoulder lock mechanism, body powered actuat
   L6648           No Change       Ext pwrd shlder lock/unlock    Upper extremity addition, shoulder lock mechanism, external powered ac
   L6650           No Change       Shoulder universal joint       Upper extremity addition, shoulder universal joint, each
   L6655           No Change       Standard control cable extra   Upper extremity addition, standard control cable, extra
   L6660           No Change       Heavy duty control cable       Upper extremity addition, heavy duty control cable
   L6665           No Change       Teflon or equal cable lining   Upper extremity addition, teflon, or equal, cable lining
   L6670           No Change       Hook to hand cable adapter     Upper extremity addition, hook to hand, cable adapter
   L6672           No Change       Harness chest/shlder saddle    Upper extremity addition, harness, chest or shoulder, saddle type
   L6675           No Change       Harness figure of 8 sing con   Upper extremity addition, harness, (e.g., figure of eight type), singl
   L6676           No Change       Harness figure of 8 dual con   Upper extremity addition, harness, (e.g., figure of eight type), dual
   L6677           No Change       Ue triple control harness      Upper extremity addition, harness, triple control, simultaneous operat
   L6680           No Change       Test sock wrist disart/bel e   Upper extremity addition, test socket, wrist disarticulation or below
   L6682           No Change       Test sock elbw disart/above    Upper extremity addition, test socket, elbow disarticulation or above
   L6684           No Change       Test socket shldr disart/tho   Upper extremity addition, test socket, shoulder disarticulation or int
   L6686           No Change       Suction socket                 Upper extremity addition, suction socket
   L6687           No Change       Frame typ socket bel elbow/w   Upper extremity addition, frame type socket, below elbow or wrist disa
   L6688           No Change       Frame typ sock above elb/dis   Upper extremity addition, frame type socket, above elbow or elbow disa
   L6689           No Change       Frame typ socket shoulder di   Upper extremity addition, frame type socket, shoulder disarticulation
   L6690           No Change       Frame typ sock interscap-tho   Upper extremity addition, frame type socket, interscapular-thoracic
   L6691           No Change       Removable insert each          Upper extremity addition, removable insert, each
   L6692           No Change       Silicone gel insert or equal   Upper extremity addition, silicone gel insert or equal, each
   L6693           No Change       Lockingelbow forearm cntrbal   Upper extremity addition, locking elbow, forearm counterbalance
   L6694           No Change       Elbow socket ins use w/lock    Addition to upper extremity prosthesis, below elbow/above elbow, custo
   L6695           No Change       Elbow socket ins use w/o lck   Addition to upper extremity prosthesis, below elbow/above elbow, custo
   L6696           No Change       Cus elbo skt in for con/atyp   Addition to upper extremity prosthesis, below elbow/above elbow, custo
   L6697           No Change       Cus elbo skt in not con/atyp   Addition to upper extremity prosthesis, below elbow/above elbow, custo
   L6698           No Change       Below/above elbow lock mech    Addition to upper extremity prosthesis, below elbow/above elbow, lock
   L6703           No Change       Term dev, passive hand mitt    Terminal device, passive hand/mitt, any material, any size
   L6704           No Change       Term dev, sport/rec/work att   Terminal device, sport/recreational/work attachment, any material, any
   L6706           No Change       Term dev mech hook vol open    Terminal device, hook, mechanical, voluntary opening, any material, an
   L6707           No Change       Term dev mech hook vol close   Terminal device, hook, mechanical, voluntary closing, any material, an
   L6708           No Change       Term dev mech hand vol open    Terminal device, hand, mechanical, voluntary opening, any material, an
   L6709           No Change       Term dev mech hand vol close   Terminal device, hand, mechanical, voluntary closing, any material, an
   L6711           No Change       Ped term dev, hook, vol open   Terminal device, hook, mechanical, voluntary opening, any material, an
   L6712           No Change       Ped term dev, hook, vol clos   Terminal device, hook, mechanical, voluntary closing, any material, an
   L6713           No Change       Ped term dev, hand, vol open   Terminal device, hand, mechanical, voluntary opening, any material, an
   L6714           No Change       Ped term dev, hand, vol clos   Terminal device, hand, mechanical, voluntary closing, any material, an
   L6715           No Change       Term device, multi art digit   Terminal device, multiple articulating digit, includes motor(s), initi
   L6721           No Change       Hook/hand, hvy dty, vol open   Terminal device, hook or hand, heavy duty, mechanical, voluntary openi
   L6722           No Change       Hook/hand, hvy dty, vol clos   Terminal device, hook or hand, heavy duty, mechanical, voluntary closi
   L6805           No Change       Term dev modifier wrist unit   Addition to terminal device, modifier wrist unit
   L6810           No Change       Term dev precision pinch dev   Addition to terminal device, precision pinch device
   L6880           No Change       Elec hand ind art digits       Electric hand, switch or myoelectric controlled, independently articul
   L6881           No Change       Term dev auto grasp feature    Automatic grasp feature, addition to upper limb electric prosthetic te
   L6882           No Change       Microprocessor control uplmb   Microprocessor control feature, addition to upper limb prosthetic term
   L6883           No Change       Replc sockt below e/w disa     Replacement socket, below elbow/wrist disarticulation, molded to patie
   L6884           No Change       Replc sockt above elbow disa   Replacement socket, above elbow/elbow disarticulation, molded to patie
   L6885           No Change       Replc sockt shldr dis/interc   Replacement socket, shoulder disarticulation/interscapular thoracic, m
   L6890           No Change       Prefab glove for term device   Addition to upper extremity prosthesis, glove for terminal device, any
   L6895           No Change       Custom glove for term device   Addition to upper extremity prosthesis, glove for terminal device, any
   L6900           No Change       Hand restorat thumb/1 finger   Hand restoration (casts, shading and measurements included), partial h
   L6905           No Change       Hand restoration multiple fi   Hand restoration (casts, shading and measurements included), partial h
   L6910           No Change       Hand restoration no fingers    Hand restoration (casts, shading and measurements included), partial h
   L6915           No Change       Hand restoration replacmnt g   Hand restoration (shading, and measurements included), replacement glo
   L6920           No Change       Wrist disarticul switch ctrl   Wrist disarticulation, external power, self-suspended inner socket, re
   L6925           No Change       Wrist disart myoelectronic c   Wrist disarticulation, external power, self-suspended inner socket, re
   L6930           No Change       Below elbow switch control     Below elbow, external power, self-suspended inner socket, removable fo
   L6935           No Change       Below elbow myoelectronic ct   Below elbow, external power, self-suspended inner socket, removable fo
   L6940           No Change       Elbow disarticulation switch   Elbow disarticulation, external power, molded inner socket, removable
   L6945           No Change       Elbow disart myoelectronic c   Elbow disarticulation, external power, molded inner socket, removable
   L6950           No Change       Above elbow switch control     Above elbow, external power, molded inner socket, removable humeral sh
   L6955           No Change       Above elbow myoelectronic ct   Above elbow, external power, molded inner socket, removable humeral sh
   L6960           No Change       Shldr disartic switch contro   Shoulder disarticulation, external power, molded inner socket, removab
   L6965           No Change       Shldr disartic myoelectronic   Shoulder disarticulation, external power, molded inner socket, removab
   L6970           No Change       Interscapular-thor switch ct   Interscapular-thoracic, external power, molded inner socket, removable
   L6975           No Change       Interscap-thor myoelectronic   Interscapular-thoracic, external power, molded inner socket, removable
   L7007           No Change       Adult electric hand            Electric hand, switch or myoelectric controlled, adult
   L7008           No Change       Pediatric electric hand        Electric hand, switch or myoelectric, controlled, pediatric
   L7009           No Change       Adult electric hook            Electric hook, switch or myoelectric controlled, adult
   L7040           No Change       Prehensile actuator            Prehensile actuator, switch controlled
   L7045           No Change       Pediatric electric hook        Electric hook, switch or myoelectric controlled, pediatric
   L7170           No Change       Electronic elbow hosmer swit   Electronic elbow, hosmer or equal, switch controlled
   L7180           No Change       Electronic elbow sequential    Electronic elbow, microprocessor sequential control of elbow and termi
   L7181           No Change       Electronic elbo simultaneous   Electronic elbow, microprocessor simultaneous control of elbow and ter
   L7185           No Change       Electron elbow adolescent sw   Electronic elbow, adolescent, variety village or equal, switch control
   L7186           No Change       Electron elbow child switch    Electronic elbow, child, variety village or equal, switch controlled
   L7190           No Change       Elbow adolescent myoelectron   Electronic elbow, adolescent, variety village or equal, myoelectronica
   L7191           No Change       Elbow child myoelectronic ct   Electronic elbow, child, variety village or equal, myoelectronically c
   L7259           No Change       Electronic wrist rotator any   Electronic wrist rotator, any type
   L7260           No Change       Electron wrist rotator otto    Electronic wrist rotator, otto bock or equal
   L7261           No Change       Electron wrist rotator utah    Electronic wrist rotator, for utah arm
   L7360           No Change       Six volt bat otto bock/eq ea   Six volt battery, each
   L7362           No Change       Battery chrgr six volt otto    Battery charger, six volt, each
   L7364           No Change       Twelve volt battery utah/equ   Twelve volt battery, each
   L7366           No Change       Battery chrgr 12 volt utah/e   Battery charger, twelve volt, each
   L7367           No Change       Replacemnt lithium ionbatter   Lithium ion battery, rechargeable, replacement
   L7368           No Change       Lithium ion battery charger    Lithium ion battery charger, replacement only
   L7400           No Change       Add ue prost be/wd, ultlite    Addition to upper extremity prosthesis, below elbow/wrist disarticulat
   L7401           No Change       Add ue prost a/e ultlite mat   Addition to upper extremity prosthesis, above elbow disarticulation, u
   L7402           No Change       Add ue prost s/d ultlite mat   Addition to upper extremity prosthesis, shoulder disarticulation/inter
   L7403           No Change       Add ue prost b/e acrylic       Addition to upper extremity prosthesis, below elbow/wrist disarticulat
   L7404           No Change       Add ue prost a/e acrylic       Addition to upper extremity prosthesis, above elbow disarticulation, a
   L7405           No Change       Add ue prost s/d acrylic       Addition to upper extremity prosthesis, shoulder disarticulation/inter
   L7499           No Change       Upper extremity prosthes nos   Upper extremity prosthesis, not otherwise specified
   L7510           No Change       Prosthetic device repair rep   Repair of prosthetic device, repair or replace minor parts
   L7520           No Change       Repair prosthesis per 15 min   Repair prosthetic device, labor component, per 15 minutes
   L7600           No Change       Prosthetic donning sleeve      Prosthetic donning sleeve, any material, each
   L7700           No Change       Pros soc insert gasket/seal    Gasket or seal, for use with prosthetic socket insert, any type, each
   L7900           No Change       Male vacuum erection system    Male vacuum erection system
   L7902           No Change       Tension ring, vac erect dev    Tension ring, for vacuum erection device, any type, replacement only,
   L8000           No Change       Mastectomy bra                 Breast prosthesis, mastectomy bra, without integrated breast prosthesi
   L8001           No Change       Breast prosthesis bra & form   Breast prosthesis, mastectomy bra, with integrated breast prosthesis f
   L8002           No Change       Brst prsth bra & bilat form    Breast prosthesis, mastectomy bra, with integrated breast prosthesis f
   L8010           No Change       Mastectomy sleeve              Breast prosthesis, mastectomy sleeve
   L8015           No Change       Ext breastprosthesis garment   External breast prosthesis garment, with mastectomy form, post mastect
   L8020           No Change       Mastectomy form                Breast prosthesis, mastectomy form
   L8030           No Change       Breast prosthes w/o adhesive   Breast prosthesis, silicone or equal, without integral adhesive
   L8031           No Change       Breast prosthesis w adhesive   Breast prosthesis, silicone or equal, with integral adhesive
   L8032    Long Description ChangeReusable nipple prosthesis     Nipple prosthesis, prefabricated, reusable, any type, each
   L8033              ADD          Nipple prosthesis custom, ea   Nipple prosthesis, custom fabricated, reusable, any material, any type
   L8035           No Change       Custom breast prosthesis       Custom breast prosthesis, post mastectomy, molded to patient model
   L8039           No Change       Breast prosthesis nos          Breast prosthesis, not otherwise specified
   L8040           No Change       Nasal prosthesis               Nasal prosthesis, provided by a non-physician
   L8041           No Change       Midfacial prosthesis           Midfacial prosthesis, provided by a non-physician
   L8042           No Change       Orbital prosthesis             Orbital prosthesis, provided by a non-physician
   L8043           No Change       Upper facial prosthesis        Upper facial prosthesis, provided by a non-physician
   L8044           No Change       Hemi-facial prosthesis         Hemi-facial prosthesis, provided by a non-physician
   L8045           No Change       Auricular prosthesis           Auricular prosthesis, provided by a non-physician
   L8046           No Change       Partial facial prosthesis      Partial facial prosthesis, provided by a non-physician
   L8047           No Change       Nasal septal prosthesis        Nasal septal prosthesis, provided by a non-physician
   L8048           No Change       Unspec maxillofacial prosth    Unspecified maxillofacial prosthesis, by report, provided by a non-phy
   L8049           No Change       Repair maxillofacial prosth    Repair or modification of maxillofacial prosthesis, labor component, 1
   L8300           No Change       Truss single w/ standard pad   Truss, single with standard pad
   L8310           No Change       Truss double w/ standard pad   Truss, double with standard pads
   L8320           No Change       Truss addition to std pad wa   Truss, addition to standard pad, water pad
   L8330           No Change       Truss add to std pad scrotal   Truss, addition to standard pad, scrotal pad
   L8400           No Change       Sheath below knee              Prosthetic sheath, below knee, each
   L8410           No Change       Sheath above knee              Prosthetic sheath, above knee, each
   L8415           No Change       Sheath upper limb              Prosthetic sheath, upper limb, each
   L8417           No Change       Pros sheath/sock w gel cushn   Prosthetic sheath/sock, including a gel cushion layer, below knee or a
   L8420           No Change       Prosthetic sock multi ply bk   Prosthetic sock, multiple ply, below knee, each
   L8430           No Change       Prosthetic sock multi ply ak   Prosthetic sock, multiple ply, above knee, each
   L8435           No Change       Pros sock multi ply upper lm   Prosthetic sock, multiple ply, upper limb, each
   L8440           No Change       Shrinker below knee            Prosthetic shrinker, below knee, each
   L8460           No Change       Shrinker above knee            Prosthetic shrinker, above knee, each
   L8465           No Change       Shrinker upper limb            Prosthetic shrinker, upper limb, each
   L8470           No Change       Pros sock single ply bk        Prosthetic sock, single ply, fitting, below knee, each
   L8480           No Change       Pros sock single ply ak        Prosthetic sock, single ply, fitting, above knee, each
   L8485           No Change       Pros sock single ply upper l   Prosthetic sock, single ply, fitting, upper limb, each
   L8499           No Change       Unlisted misc prosthetic ser   Unlisted procedure for miscellaneous prosthetic services
   L8500           No Change       Artificial larynx              Artificial larynx, any type
   L8501           No Change       Tracheostomy speaking valve    Tracheostomy speaking valve
   L8505           No Change       Artificial larynx, accessory   Artificial larynx replacement battery / accessory, any type
   L8507           No Change       Trach-esoph voice pros pt in   Tracheo-esophageal voice prosthesis, patient inserted, any type, each
   L8509           No Change       Trach-esoph voice pros md in   Tracheo-esophageal voice prosthesis, inserted by a licensed health car
   L8510           No Change       Voice amplifier                Voice amplifier
   L8511           No Change       Indwelling trach insert        Insert for indwelling tracheoesophageal prosthesis, with or without va
   L8512           No Change       Gel cap for trach voice pros   Gelatin capsules or equivalent, for use with tracheoesophageal voice p
   L8513           No Change       Trach pros cleaning device     Cleaning device used with tracheoesophageal voice prosthesis, pipet, b
   L8514           No Change       Repl trach puncture dilator    Tracheoesophageal puncture dilator, replacement only, each
   L8515           No Change       Gel cap app device for trach   Gelatin capsule, application device for use with tracheoesophageal voi
   L8600           No Change       Implant breast silicone/eq     Implantable breast prosthesis, silicone or equal
   L8603           No Change       Collagen imp urinary 2.5 ml    Injectable bulking agent, collagen implant, urinary tract, 2.5 ml syri
   L8604           No Change       Dextranomer/hyaluronic acid    Injectable bulking agent, dextranomer/hyaluronic acid copolymer implan
   L8605           No Change       Inj bulking agent anal canal   Injectable bulking agent, dextranomer/hyaluronic acid copolymer implan
   L8606           No Change       Synthetic implnt urinary 1ml   Injectable bulking agent, synthetic implant, urinary tract, 1 ml syrin
   L8607           No Change       Inj vocal cord bulking agent   Injectable bulking agent for vocal cord medialization, 0.1 ml, include
   L8608           No Change       Arg ii ext com/sup/acc misc    Miscellaneous external component, supply or accessory for use with the
   L8609           No Change       Artificial cornea              Artificial cornea
   L8610           No Change       Ocular implant                 Ocular implant
   L8612           No Change       Aqueous shunt prosthesis       Aqueous shunt
   L8613           No Change       Ossicular implant              Ossicula implant
   L8614           No Change       Cochlear device                Cochlear device, includes all internal and external components
   L8615           No Change       Coch implant headset replace   Headset/headpiece for use with cochlear implant device, replacement
   L8616           No Change       Coch implant microphone repl   Microphone for use with cochlear implant device, replacement
   L8617           No Change       Coch implant trans coil repl   Transmitting coil for use with cochlear implant device, replacement
   L8618           No Change       Coch implant tran cable repl   Transmitter cable for use with cochlear implant device or auditory oss
   L8619           No Change       Coch imp ext proc/contr rplc   Cochlear implant, external speech processor and controller, integrated
   L8621           No Change       Repl zinc air battery          Zinc air battery for use with cochlear implant device and auditory oss
   L8622           No Change       Repl alkaline battery          Alkaline battery for use with cochlear implant device, any size, repla
   L8623           No Change       Lith ion batt cid,non-earlvl   Lithium ion battery for use with cochlear implant device speech proces
   L8624           No Change       Lith ion batt cid, ear level   Lithium ion battery for use with cochlear implant or auditory osseoint
   L8625           No Change       Charger coch impl/aoi battry   External recharging system for battery for use with cochlear implant o
   L8627           No Change       Cid ext speech process repl    Cochlear implant, external speech processor, component, replacement
